APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen,PerfilJugador
55.86,0.85,02.07,251.37,1117.19,0.00,13.96,0.00,0.78,Sword Damage,Berserker
62.79,0.95,2.16,239.21,1196.07,0.00,8.97,0.00,0.77,Health,Berserker
66.91,0.87,2.45,225.47,1163.74,0.00,17.46,2.91,0.75,Armor,Berserker
60.16,0.80,2.29,165.45,1203.29,0.00,15.04,0.00,0.71,Sword Damage,Berserker
48.20,0.95,2.68,152.21,1014.77,0.00,20.30,0.00,0.80,Health,Berserker
51.98,0.84,3.31,218.88,1094.42,0.00,13.68,0.00,0.64,Max Health,Berserker
53.65,0.87,4.94,186.61,933.06,0.00,11.66,0.00,0.68,Health,Berserker
64.79,0.84,2.59,315.42,1159.40,0.00,13.64,0.00,0.76,Max Health,Berserker
51.24,0.95,3.44,231.79,975.96,0.00,14.64,2.44,0.63,Max Health,Berserker
44.43,0.95,3.30,327.92,909.72,0.00,15.87,01.06,0.52,Sword Damage,Berserker
40.38,0.89,3.88,254.24,837.49,0.00,13.46,0.00,0.67,Sword Damage,Berserker
59.42,0.95,2.64,141.47,1131.76,0.00,11.32,0.00,0.80,Sword Damage,Berserker
55.99,0.94,2.45,217.73,1244.15,0.00,6.22,0.00,0.70,Health,Berserker
64.86,0.93,3.27,237.84,1729.72,0.00,8.65,0.00,0.69,Velocity,Berserker
77.42,1.00,2.58,309.66,2064.41,0.00,5.16,0.00,0.73,Health,Berserker
60.40,0.91,1.99,164.72,1098.11,0.00,5.49,0.00,0.83,Sword Damage,Berserker
82.41,0.86,4.00,412.04,2354.50,0.00,0.00,0.00,0.74,Sword Damage,Berserker
90.60,0.83,1.78,226.50,1509.99,0.00,0.00,0.00,0.83,Sword Damage,Berserker
52.70,0.83,3.62,316.21,1089.17,0.00,8.78,0.00,0.78,Health,Berserker
48.48,0.83,5.94,141.41,808.06,0.00,14.14,0.00,0.59,Max Health,Berserker
46.90,0.83,2.96,87.93,781.60,0.00,5.86,0.00,0.67,Max Health,Berserker
60.17,0.81,2.80,157.58,1146.04,0.00,8.60,0.00,0.75,Velocity,Berserker
68.25,0.77,3.52,118.12,1049.99,0.00,13.12,0.00,0.73,Sword Damage,Berserker
39.01,0.94,3.32,121.92,975.32,0.00,14.63,0.00,0.52,Velocity,Berserker
76.11,0.87,2.22,132.37,1323.72,0.00,9.93,0.00,0.83,Sword Damage,Berserker
59.30,0.91,02.04,202.16,1118.59,0.05,16.17,0.00,0.84,Sword Damage,Berserker
55.12,0.94,5.33,275.62,1378.12,0.00,10.34,0.00,0.48,Sword Damage,Berserker
62.60,1.00,2.66,139.10,1391.04,0.00,10.43,0.00,0.76,Max Health,Berserker
60.94,0.94,1.82,323.76,1523.57,0.00,3.81,0.00,0.80,Velocity,Berserker
52.93,0.88,2.98,240.60,1154.88,0.00,9.62,0.00,0.73,Health,Berserker
68.26,0.78,2.46,284.42,1516.93,0.00,11.38,0.00,0.83,Velocity,Berserker
64.16,0.90,1.83,183.32,1222.16,0.00,15.28,0.00,0.82,Sword Damage,Berserker
50.67,0.83,3.38,63.34,844.57,0.00,10.56,0.00,0.62,Velocity,Berserker
59.47,0.81,3.49,335.74,1227.85,0.00,13.43,0.00,0.66,Velocity,Berserker
59.95,0.95,3.53,126.21,1262.05,0.00,18.93,0.00,0.67,Velocity,Berserker
73.76,0.91,1.88,234.69,1341.09,0.00,10.06,0.00,0.85,Health,Berserker
70.15,0.91,4.14,239.15,1275.46,0.00,12.75,0.00,0.75,Sword Damage,Berserker
58.23,0.89,2.60,229.84,1225.81,0.00,9.19,0.00,0.76,Sword Damage,Berserker
51.58,0.83,4.13,150.44,859.68,0.00,10.75,0.00,0.76,Max Health,Berserker
56.67,0.83,1.53,259.74,944.50,0.00,12.59,0.00,0.93,Sword Damage,Berserker
18.84,0.80,6.29,0.00,527.64,1.00,05.03,0.00,0.03,Armor,Tactic
23.24,0.74,5.85,24.46,525.89,0.68,12.23,3.67,0.16,Armor,Tactic
21.00,0.68,07.02,16.58,469.79,0.79,6.63,1.11,0.07,Bow Damage,Tactic
21.75,1.00,5.36,31.07,722.42,0.79,9.32,1.55,0.17,Bow Damage,Tactic
16.82,0.87,6.61,33.64,493.46,0.87,8.97,2.24,0.04,Bow Damage,Tactic
15.78,0.80,7.56,15.78,441.79,1.00,8.42,01.05,0.00,Shield,Tactic
25.99,1.00,06.03,18.56,826.06,0.79,9.28,1.86,0.22,Shield,Tactic
20.94,0.86,6.49,37.39,628.12,1.00,7.48,0.00,0.08,Armor,Tactic
21.16,1.00,7.20,0.00,740.74,1.00,8.82,0.00,0.05,Armor,Tactic
20.82,1.00,5.81,26.03,728.75,1.00,8.68,1.74,0.09,Bow Damage,Tactic
25.74,1.00,4.91,17.16,746.57,0.60,5.15,5.15,0.32,Max Health,Tactic
12.50,0.91,04.09,59.68,397.88,1.00,6.25,0.57,0.35,Armor,Tactic
24.04,1.00,4.58,9.25,813.81,0.85,9.25,1.85,0.19,Max Health,Tactic
21.48,1.00,05.06,0.00,751.79,1.00,8.95,0.00,0.08,Armor,Tactic
22.47,1.00,5.40,14.04,786.52,1.00,5.62,9.36,0.11,Armor,Tactic
23.95,1.00,6.18,0.00,838.33,1.00,7.98,0.00,0.00,Max Health,Tactic
21.50,0.92,6.22,12.40,694.60,1.00,9.92,3.31,0.07,Bow Damage,Tactic
18.28,1.00,6.30,0.00,639.92,1.00,10.67,03.05,0.12,Velocity,Tactic
20.87,0.86,6.41,55.91,626.24,0.93,10.44,2.98,0.06,Armor,Tactic
19.93,0.92,7.63,22.99,643.84,1.00,0.00,0.00,0.00,Max Health,Tactic
20.82,1.00,07.06,0.00,728.74,1.00,8.68,0.00,0.03,Bow Damage,Tactic
18.62,0.92,5.97,78.20,577.21,0.88,5.21,2.23,0.23,Max Health,Tactic
21.08,1.00,6.77,0.00,737.70,1.00,5.27,0.00,0.03,Shield,Tactic
20.80,1.00,5.65,0.00,727.90,1.00,6.93,1.73,0.09,Bow Damage,Tactic
18.76,0.86,6.17,20.10,562.75,1.00,6.70,1.34,0.07,Shield,Tactic
21.01,0.92,06.04,48.49,678.88,1.00,4.85,1.62,0.11,Bow Damage,Tactic
15.98,1.00,07.07,0.00,559.25,1.00,6.66,0.00,0.01,Bow Damage,Tactic
21.53,1.00,5.63,17.94,753.59,1.00,12.56,0.00,0.08,Armor,Tactic
21.42,0.92,5.44,0.00,691.93,1.00,9.88,1.65,0.10,Velocity,Tactic
22.11,0.92,6.40,0.00,714.29,0.92,8.50,0.00,0.01,Bow Damage,Tactic
23.13,0.87,6.24,46.26,655.41,0.87,7.71,03.08,0.04,Bow Damage,Tactic
21.74,1.00,6.27,16.72,710.79,0.85,6.69,3.34,0.10,Armor,Tactic
19.18,0.92,5.93,0.00,619.77,1.00,5.90,0.00,0.00,Bow Damage,Tactic
22.53,0.93,4.69,12.07,684.01,0.86,12.88,3.22,0.18,Shield,Tactic
16.12,0.93,6.44,112.86,526.69,1.00,11.82,0.00,0.00,Armor,Tactic
16.72,0.92,6.22,78.36,536.34,1.00,6.27,0.70,0.02,Bow Damage,Tactic
21.18,1.00,6.73,0.00,741.18,1.00,07.06,0.00,0.06,Shield,Tactic
20.44,1.00,6.79,0.00,715.50,1.00,8.52,0.00,0.06,Shield,Tactic
17.05,0.92,6.73,0.00,550.94,1.00,13.12,2.62,0.08,Bow Damage,Tactic
20.32,0.92,6.29,11.72,656.59,1.00,10.94,3.13,0.04,Max Health,Tactic
27.23,0.63,4.59,102.10,516.20,0.29,4.54,5.67,0.40,Max Health,Unskilful
34.39,0.54,3.43,119.04,575.36,0.27,5.29,6.61,0.42,Shield,Unskilful
36.12,0.70,4.86,139.08,639.39,0.28,3.61,5.78,0.37,Health,Unskilful
31.65,0.68,4.40,123.44,601.36,0.52,05.06,6.33,0.22,Max Health,Unskilful
33.98,0.80,3.12,144.39,789.92,0.35,3.40,6.80,0.51,Velocity,Unskilful
30.16,0.82,3.86,178.19,735.61,0.39,3.66,5.48,0.47,Armor,Unskilful
27.23,0.76,4.64,123.16,596.37,0.48,3.89,2.59,0.33,Shield,Unskilful
29.66,0.52,3.81,107.10,494.32,0.48,1.10,3.30,0.32,Health,Unskilful
46.80,0.66,3.20,149.27,782.68,0.31,1.61,08.07,0.52,Health,Unskilful
26.30,0.67,4.86,101.35,482.10,0.42,7.67,6.57,0.33,Shield,Unskilful
30.08,0.79,5.38,138.52,767.81,0.37,6.33,3.17,0.26,Max Health,Unskilful
33.85,0.73,3.84,138.50,677.09,0.45,6.16,6.16,0.41,Armor,Unskilful
33.45,0.59,4.56,139.93,583.62,0.41,6.83,6.14,0.31,Shield,Unskilful
32.17,0.60,4.26,119.05,604.89,0.48,6.43,5.15,0.32,Armor,Unskilful
57.05,0.44,4.41,151.01,780.22,0.24,3.36,8.39,0.50,Health,Unskilful
23.82,0.65,4.89,134.84,469.30,0.47,3.50,4.20,0.40,Shield,Unskilful
36.53,0.64,3.85,150.01,597.45,0.29,4.17,4.17,0.61,Health,Unskilful
28.45,0.88,4.32,168.94,773.56,0.50,7.11,5.33,0.26,Health,Unskilful
27.74,0.70,4.38,124.84,617.27,0.40,8.32,5.55,0.35,Armor,Unskilful
23.54,0.60,5.15,91.79,388.36,0.46,5.18,3.77,0.23,Max Health,Unskilful
22.18,0.68,5.14,102.14,501.95,0.63,9.34,5.84,0.18,Health,Unskilful
19.49,0.87,6.43,123.44,536.01,0.67,5.20,4.55,0.13,Shield,Unskilful
38.40,0.42,3.29,95.99,464.80,0.18,05.05,06.06,0.44,Shield,Unskilful
29.53,0.69,4.21,196.03,723.01,0.38,03.05,6.11,0.40,Health,Unskilful
37.97,0.57,3.83,113.90,601.12,0.37,7.59,05.06,0.38,Health,Unskilful
36.49,0.38,5.47,96.60,477.64,0.41,6.44,5.37,0.26,Health,Unskilful
38.42,0.56,3.33,108.04,540.22,0.31,6.00,2.40,0.56,Armor,Unskilful
29.56,0.73,4.45,120.91,597.85,0.36,5.37,04.03,0.40,Armor,Unskilful
41.14,0.59,3.55,124.12,595.76,0.28,1.42,5.67,0.51,Shield,Unskilful
49.71,0.52,2.41,144.33,721.65,0.23,4.81,3.21,0.73,Max Health,Unskilful
30.04,0.52,5.67,105.71,495.18,0.67,4.45,2.23,0.16,Health,Unskilful
37.33,0.52,6.11,145.59,657.04,0.56,2.99,1.49,0.15,Shield,Unskilful
25.76,0.61,4.55,132.20,528.81,0.53,5.42,2.71,0.44,Health,Unskilful
32.08,0.67,4.43,180.19,648.26,0.42,3.52,3.52,0.37,Armor,Unskilful
35.59,0.45,05.04,103.33,493.69,0.39,9.18,4.59,0.17,Health,Unskilful
34.82,0.62,4.62,171.88,575.89,0.41,5.36,1.79,0.50,Health,Unskilful
34.08,0.54,4.88,112.58,547.67,0.46,3.65,2.43,0.21,Max Health,Unskilful
31.79,0.67,05.07,143.79,628.16,0.43,06.05,03.03,0.14,Health,Unskilful
37.34,0.58,4.67,136.43,624.70,0.42,5.74,5.74,0.28,Health,Unskilful
36.96,0.57,4.89,120.12,609.86,0.47,4.93,3.70,0.33,Shield,Unskilful
49.69,0.95,2.89,52.31,1216.13,0.32,15.69,5.23,0.61,Sword Damage,Expert
30.10,0.85,6.72,22.57,647.10,0.40,12.04,03.01,0.29,Bow Damage,Expert
22.77,0.89,4.35,192.23,554.12,0.43,11.17,2.15,0.25,Sword Damage,Expert
26.96,0.96,3.42,134.80,787.21,0.56,11.86,4.31,0.44,Velocity,Expert
30.47,0.87,4.44,50.78,873.39,0.53,12.19,04.06,0.26,Velocity,Expert
24.37,0.91,04.03,132.93,736.64,0.55,13.29,2.22,0.50,Bow Damage,Expert
27.82,1.00,4.37,74.91,941.71,0.62,14.98,4.28,0.30,Sword Damage,Expert
28.28,1.00,5.28,23.57,820.24,0.60,16.97,3.77,0.24,Bow Damage,Expert
46.07,1.00,2.95,108.40,1219.52,0.35,18.97,8.13,0.56,Bow Damage,Expert
28.68,0.91,7.10,162.97,730.12,0.41,10.43,3.91,0.41,Shield,Expert
44.63,0.94,3.58,92.97,1140.49,0.44,9.92,7.44,0.47,Shield,Expert
23.90,0.85,5.26,126.42,620.60,0.42,9.19,3.68,0.54,Bow Damage,Expert
30.63,0.89,5.18,44.33,765.72,0.53,08.06,6.45,0.30,Velocity,Expert
27.49,0.94,3.93,85.91,781.79,0.63,15.46,6.87,0.29,Bow Damage,Expert
30.32,0.83,05.06,42.11,791.74,0.56,15.16,05.05,0.20,Sword Damage,Expert
27.31,0.78,3.85,56.90,667.67,0.56,16.69,06.07,0.36,Bow Damage,Expert
30.22,0.88,4.71,47.22,850.01,0.50,13.22,5.67,0.31,Shield,Expert
32.35,1.00,4.62,20.22,919.81,0.56,14.15,06.06,0.33,Bow Damage,Expert
27.69,0.82,3.88,121.12,667.42,0.50,12.85,3.96,0.47,Velocity,Expert
21.89,0.83,4.26,179.25,539.62,0.55,11.32,2.26,0.71,Velocity,Expert
28.83,1.00,4.20,36.04,792.90,0.50,5.41,5.41,0.37,Bow Damage,Expert
33.78,1.00,3.70,90.07,990.78,0.47,11.26,4.50,0.31,Sword Damage,Expert
29.31,1.00,5.47,52.35,921.31,0.57,8.38,6.28,0.23,Bow Damage,Expert
36.12,0.93,3.28,48.15,1179.78,0.40,14.45,4.82,0.46,Sword Damage,Expert
26.86,0.88,04.07,58.76,763.85,0.63,15.11,1.68,0.30,Bow Damage,Expert
30.73,1.00,6.00,19.20,844.98,0.50,9.60,3.84,0.26,Shield,Expert
33.46,0.85,4.61,100.37,744.44,0.50,8.36,1.67,0.29,Health,Expert
23.05,0.83,1.87,140.33,566.32,0.57,11.03,2.00,0.88,Velocity,Expert
26.15,0.94,4.46,23.07,676.77,0.53,12.30,1.54,0.24,Velocity,Expert
29.62,0.86,5.55,95.20,1015.52,0.57,12.69,0.00,0.22,Bow Damage,Expert
26.72,0.86,4.15,90.66,820.68,0.57,13.36,3.82,0.38,Shield,Expert
24.90,0.95,05.09,142.27,634.28,0.48,7.11,1.19,0.28,Velocity,Expert
21.17,0.93,6.92,0.00,606.86,0.73,07.06,0.00,0.07,Bow Damage,Expert
34.80,1.00,3.93,81.21,1032.48,0.47,13.92,6.96,0.36,Sword Damage,Expert
29.76,0.93,4.73,9.92,853.17,0.73,15.87,1.98,0.25,Bow Damage,Expert
21.75,0.93,5.25,38.84,706.84,0.71,12.43,3.11,0.12,Shield,Expert
27.38,0.88,4.63,16.11,700.65,0.65,12.89,4.83,0.23,Velocity,Expert
27.20,0.94,6.11,50.99,739.38,0.63,8.50,5.10,0.25,Shield,Expert
34.70,0.92,4.74,146.80,1254.45,0.46,08.01,5.34,0.28,Sword Damage,Expert
29.74,1.00,4.47,39.66,862.52,0.60,13.88,3.97,0.20,Bow Damage,Expert
40.24,1.00,5.39,54.88,1189.03,0.64,3.66,3.66,0.35,Bow Damage,Expert
36.20,0.88,5.67,22.62,1029.41,0.50,09.05,6.79,0.31,Sword Damage,Expert
36.84,0.94,5.30,115.13,1312.50,0.31,11.51,2.30,0.29,Health,Expert
32.32,1.00,4.89,40.40,1292.68,0.67,21.54,5.39,0.24,Velocity,Expert
27.91,1.00,5.40,139.57,1203.82,0.50,10.47,3.49,0.33,Health,Expert
47.95,0.90,3.93,71.93,1726.25,0.60,0.00,9.59,0.35,Max Health,Expert
32.26,0.94,4.90,156.56,1309.37,0.59,11.39,3.80,0.26,Bow Damage,Expert
23.41,0.90,5.51,35.11,1041.57,0.80,9.36,2.34,0.16,Health,Expert
29.82,0.93,4.68,90.53,1437.80,0.71,12.78,4.26,0.25,Health,Expert
28.77,0.87,5.76,38.37,1314.01,0.60,13.43,3.84,0.23,Velocity,Expert
43.87,0.92,04.02,185.60,1552.28,0.38,6.75,3.37,0.41,Health,Speedrunner
56.36,1.00,2.67,193.73,1620.32,0.25,14.09,07.04,0.61,Velocity,Speedrunner
50.42,0.89,2.38,218.94,1141.13,0.21,10.62,2.65,0.70,Sword Damage,Speedrunner
46.97,0.79,4.61,381.66,1086.28,0.25,9.79,3.91,0.31,Velocity,Speedrunner
46.31,0.94,2.20,263.55,1049.26,0.23,12.81,3.94,0.70,Bow Damage,Speedrunner
66.85,0.93,3.76,334.23,1916.27,0.13,13.37,4.46,0.64,Sword Damage,Speedrunner
36.21,0.83,2.33,234.12,805.38,0.31,14.98,2.50,0.76,Velocity,Speedrunner
38.86,0.93,3.74,252.59,1165.80,0.47,18.13,2.59,0.36,Velocity,Speedrunner
48.89,0.79,3.71,160.81,1170.67,0.32,15.44,5.15,0.47,Health,Speedrunner
38.82,1.00,3.72,84.92,1055.44,0.31,16.98,7.28,0.54,Sword Damage,Speedrunner
59.50,1.00,3.21,260.33,1710.72,0.19,11.16,7.44,0.71,Max Health,Speedrunner
42.98,1.00,3.22,186.25,1303.73,0.33,17.19,2.87,0.50,Bow Damage,Speedrunner
62.00,0.90,4.45,177.14,1343.31,0.24,14.76,5.90,0.62,Velocity,Speedrunner
43.61,0.82,3.60,179.56,1115.84,0.29,15.39,5.13,0.40,Velocity,Speedrunner
53.36,0.71,04.02,76.22,1092.52,0.24,15.24,2.54,0.52,Max Health,Speedrunner
43.90,0.83,4.16,146.34,1060.99,0.33,17.07,7.32,0.42,Velocity,Speedrunner
56.10,0.86,4.31,153.61,1202.14,0.33,13.36,5.34,0.47,Sword Damage,Speedrunner
45.67,0.89,2.93,168.27,1105.77,0.42,16.83,7.21,0.56,Bow Damage,Speedrunner
42.85,0.72,3.86,171.39,796.97,0.36,15.43,1.71,0.50,Velocity,Speedrunner
42.68,0.93,3.92,274.39,1310.98,0.43,12.20,0.00,0.45,Velocity,Speedrunner
53.45,0.80,03.08,200.43,1189.21,0.25,21.38,2.67,0.63,Health,Speedrunner
62.20,1.00,02.02,164.63,1628.05,0.41,10.98,7.32,0.71,Velocity,Speedrunner
59.41,1.00,3.15,227.16,1485.25,0.18,6.99,6.99,0.61,Bow Damage,Speedrunner
40.11,1.00,4.37,143.27,1260.75,0.57,14.33,2.87,0.28,Sword Damage,Speedrunner
40.86,1.00,4.38,65.67,1269.67,0.36,5.84,8.76,0.50,Velocity,Speedrunner
37.55,0.80,5.43,250.31,963.71,0.40,16.27,2.50,0.49,Velocity,Speedrunner
48.34,0.81,3.23,115.08,1024.25,0.43,13.81,4.60,0.49,Bow Damage,Speedrunner
49.25,0.77,3.23,238.04,1124.56,0.30,16.42,0.00,0.64,Bow Damage,Speedrunner
48.60,0.94,3.69,189.02,1161.12,0.39,13.50,5.40,0.56,Velocity,Speedrunner
34.85,0.96,4.35,224.07,1045.64,0.43,14.94,0.00,0.39,Velocity,Speedrunner
52.69,1.00,04.03,115.26,1547.75,0.38,16.47,3.29,0.74,Bow Damage,Speedrunner
76.37,0.90,3.11,254.57,1563.76,0.10,7.27,7.27,0.71,Sword Damage,Speedrunner
40.60,0.90,4.47,213.49,986.97,0.31,12.60,5.60,0.47,Velocity,Speedrunner
50.55,0.89,3.80,133.41,1263.84,0.39,14.04,8.43,0.59,Bow Damage,Speedrunner
54.57,0.90,4.34,81.86,1227.91,0.35,13.64,5.46,0.52,Velocity,Speedrunner
42.45,0.74,4.80,184.32,1005.40,0.32,13.41,2.23,0.31,Health,Speedrunner
46.73,0.88,4.39,240.54,1182.07,0.35,16.49,2.75,0.31,Health,Speedrunner
43.18,0.88,5.19,95.25,1155.65,0.35,15.24,05.08,0.33,Velocity,Speedrunner
63.44,0.90,3.70,181.27,1374.62,0.24,18.13,06.04,0.58,Velocity,Speedrunner
37.58,0.92,3.48,62.63,1283.93,0.50,12.53,3.13,0.32,Velocity,Speedrunner